userId,eventId,rating
21,70,2
21,71,1
22,40,1
21,72,1
23,10,1
21,73,2
21,74,1
21,75,1
21,76,1
27,52,1
26,84,1
3,40,1
2,72,1
4,10,5
28,108,1
4,13,1
3,44,1
4,12,5
17,11,1
2,77,1
22,37,2
22,38,1
2,71,1
21,6,2
24,105,1
21,83,1
21,85,1
22,53,2
21,2,1
28,37,1
21,1,1
24,108,1
29,2,1
24,102,1
21,9,1
3,52,1
2,84,1
12,11,1
1,108,1
1,106,1
1,103,1
22,45,1
21,77,1
22,46,2
21,78,2
22,47,1
21,79,1
1,100,1
21,52,1
27,36,1
21,53,1
20,84,1
17,6,1
17,1,1
12,105,1
14,85,1
12,108,1
20,101,1
20,107,1
29,9,1
20,104,1
20,77,1
4,37,1
22,12,1
21,45,1
14,83,1
12,102,1
28,12,1
26,77,1
4,103,1
27,43,1
4,106,1
20,2,1
4,108,1
28,4,1
26,72,1
28,3,1
26,70,1
20,9,1
5,10,1
3,73,1
4,41,1
3,75,1
4,46,5
3,78,1
27,105,1
27,108,1
27,39,1
27,102,1
27,11,1
26,42,1
25,74,1
25,79,1
2,104,1
2,107,1
2,101,1
17,103,1
25,71,1
17,106,1
4,53,1
3,85,1
19,79,1
19,74,1
26,38,1
19,71,1
3,80,1
27,1,1
25,86,1
29,107,1
22,10,1
21,43,1
5,2,1
27,6,1
20,72,1
26,50,1
20,70,1
17,108,1
5,35,1
23,107,1
5,38,1
14,77,1
23,101,1
19,85,1
23,104,1
21,36,1
14,72,1
21,37,1
21,38,1
21,39,1
14,70,1
25,53,1
13,106,1
24,85,1
13,108,1
21,10,1
20,42,1
14,38,1
13,103,1
20,38,1
13,74,1
4,74,1
14,41,1
5,45,1
20,35,1
13,79,1
5,47,1
4,79,1
14,46,5
19,53,1
13,71,1
4,70,1
26,2,1
26,35,1
28,103,1
26,9,1
4,4,5
20,50,1
28,106,1
4,9,5
13,86,1
4,86,1
13,84,1
21,11,1
1,10,1
14,50,1
5,50,1
4,83,1
26,101,1
14,2,1
29,77,1
29,72,1
29,70,1
26,107,1
14,9,1
26,104,1
13,53,1
3,105,1
12,85,1
12,83,1
19,37,1
20,10,1
3,108,1
3,102,1
26,10,1
25,3,1
24,73,1
25,40,1
25,46,1
1,37,1
24,78,1
3,3,1
29,84,1
25,4,1
24,70,1
5,76,1
19,46,1
14,35,1
25,37,1
5,72,1
5,71,1
19,40,1
23,72,1
13,4,1
13,3,1
22,108,1
24,43,1
22,106,1
1,47,1
25,12,1
23,77,1
29,50,1
22,103,2
28,86,1
23,70,1
19,12,1
2,11,1
17,78,1
1,45,1
24,36,1
17,73,1
24,39,1
29,101,1
5,80,1
29,104,1
17,70,1
5,84,1
24,52,1
24,1,1
23,84,1
2,1,1
2,6,1
13,37,1
24,6,1
14,10,1
12,73,1
14,102,1
13,40,1
13,46,1
12,78,1
14,107,1
17,86,1
1,53,1
12,70,1
14,104,1
23,50,1
22,81,1
29,35,1
22,82,1
22,83,1
12,1,1
22,85,1
22,86,2
29,38,1
22,87,1
22,88,1
2,36,1
2,38,1
12,36,1
19,108,1
12,39,1
12,6,1
22,80,1
25,103,1
25,106,1
25,108,1
13,12,1
12,42,1
2,35,1
22,79,2
17,52,1
28,79,1
23,2,1
1,2,1
1,4,1
28,71,1
1,9,1
23,9,1
29,42,1
28,74,1
19,102,1
1,70,1
12,52,1
19,105,1
3,12,1
3,14,1
2,46,1
1,76,1
28,46,1
27,78,1
21,102,1
21,103,1
21,105,1
27,70,1
21,108,1
19,4,1
19,3,1
29,10,1
27,73,1
28,40,1
17,36,1
2,50,1
17,39,1
1,83,1
22,70,1
22,71,2
22,4,1
22,72,1
22,3,1
22,73,1
24,11,1
22,74,1
22,2,1
23,42,1
22,76,1
3,39,1
28,53,1
27,85,1
22,9,1
17,43,1
5,107,1
23,35,1
23,38,1
5,104,1
5,101,1
